Average of avg,Column Labels,,,,,
Row Labels,5,20,50,70,90,Grand Total
1,7.284028099,3.440547169,1.542128007,1.16150539,1.030316814,2.891705096
2,6.860729239,3.797710033,1.629105879,1.249771928,1.118765633,2.931216543
3,4.318992898,2.154888631,1.030365998,0.759303974,0.659069954,1.784524291
Grand Total,6.154583412,3.131048611,1.400533295,1.056860431,0.9360508,2.53581531
,,,,,,
Row Labels,5,20,50,70,90,
desert ant,7.284028099,3.440547169,1.542128007,1.16150539,1.030316814,
honey bee,6.860729239,3.797710033,1.629105879,1.249771928,1.118765633,
naïve,4.318992898,2.154888631,1.030365998,0.759303974,0.659069954,
,,,,,,
,5,20,50,70,90,
desert ant,7.284028099,3.440547169,1.542128007,1.16150539,1.030316814,
honey bee,6.860729239,3.797710033,1.629105879,1.249771928,1.118765633,
naïve,4.318992898,2.154888631,1.030365998,0.759303974,0.659069954,
,,,,,,
,=,,,,,
